Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
C10,0402,1,10n,
C11,0402,1,22n,
C12,CAP_RPS&slash_PA_6P3X5P7_NCH,1,39u,
C13,0402,1,10p,
C14,0603,1,1u,
C15,0603,1,10u,
"C4, C6",0603,2,4u7,
C5,0603,1,100p,
C7,0805,1,4u7,
C8,0805,1,10u,
C9,1206,1,22u,
D1,LED_Cree-XHP50_6V,1,LED_Cree_XHP50_6V,
D2,Schottky_Diode,1,PDS540-13,
IC1,LDO_5V,1,TPS7A7001DDA,
IC2,Boost_Converter_AD,1,ADP1614ACPZ-1.3-R7,
J1,215760-YY02,1,215760-3002,
J2,4_pin_molex,1,4pin_molex,
L1,WE-HCI_1350_136523,1,4u7,
"R10, R4",0402,2,10k,
R11,0603,1,4.22k,
R12,0603,1,191k,
R13,0603,1,50k,
R3,0402,1,10R,
R5,0805,1,0.1R,
R6,0805,1,0.15R,
R7,0402,1,274k,
R8,0402,1,30.1k,
R9,0603,1,59k,
"TP1, TP2",TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded,2,TestPoint,
U2,Diodes_SO-8EP,1,LED_DRIVER_PAM,
