Designator,Mid X,Mid Y,Rotation,Layer
,109.15,-36.85,0.0,top
C10,94.9,-71.7,270.0,top
C11,98.5,-72.85,0.0,top
C12,109.0,-69.0,270.0,top
C13,98.5,-71.0,0.0,top
C14,90.55,-66.2,90.0,top
C15,102.8,-70.0,270.0,top
C4,112.49,-56.49,270.0,top
C5,113.0,-52.15,0.0,top
C6,102.2,-54.44,270.0,top
C7,112.3,-41.04,90.0,top
C8,101.1,-36.75,90.0,top
C9,91.0,-72.5625,270.0,top
D1,87.488447,-47.399999,180.0,top
D2,94.88,-60.5,0.0,top
IC1,106.888,-41.895,180.0,top
IC2,94.95,-67.5,180.0,top
J1,68.68,-65.4,270.0,top
J2,115.9,-56.875,90.0,bottom
L1,82.5,-65.5,90.0,top
R10,98.8,-64.8,90.0,top
R11,96.5,-71.9125,270.0,top
R12,100.0,-69.0,180.0,top
R13,100.0,-67.0,0.0,top
R3,111.85,-49.0,270.0,top
R4,112.45,-50.75,0.0,top
R5,105.2,-49.15,0.0,top
R6,99.15,-49.1,180.0,top
R7,101.1,-41.54,90.0,top
R8,101.1,-43.94,270.0,top
R9,93.35,-72.2625,270.0,top
TP1,113.6,-45.0,0.0,top
TP2,63.0,-45.0,0.0,top
U2,106.85,-52.95,180.0,top
