Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Elec_10x12.5,2,1000u,
"C3, C4",0603,2,1u,
"H1, H2, H3, H4",MountingHole_2.5mm_Pad_Via,4,MountingHole_Pad,
J1,power_in,1,power_in,
J2,3_pin_molex,1,3-pin_molex,
J3,2_pin_molex,1,2_pin_molex,
J4,5_pin_molex,1,5_pin_molex,
"JP1, JP2, JP3",PinHeader_1x03_P1.27mm_Vertical,3,Jumper_3_Open,
"K4, K5",PinSocket_1x15_P2.54mm_Vertical,2,HEADER_MALE_15X1,
L1,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,10m,
R1,0603,1,100k,
U2,3v3_ldo,1,MCP1700-3302E/TO,
U3,6_pin_molex,1,INMP441,
U4,INMP441,1,INMP441,
U5,MAX98357A ADAFRUIT,1,MAX98357 Adafruit Breakout,
