Designator,Mid X,Mid Y,Rotation,Layer
C1,107.8,-85.86,0.0,top
C2,107.8,-99.86,0.0,top
C3,118.525,-98.9875,270.0,top
C4,118.5,-102.5125,270.0,top
J1,105.23,-63.185,270.0,top
J2,166.525,-79.775,90.0,bottom
J3,165.279,-90.775,90.0,bottom
J4,161.798,-81.05,90.0,top
JP1,159.32,-51.425,90.0,top
JP2,152.705,-51.425,270.0,top
JP3,114.945,-111.75,90.0,top
K4,122.415,-74.555,180.0,top
K5,145.275,-74.555,180.0,top
L1,107.6,-73.785,270.0,top
R1,148.075,-51.4,180.0,top
U2,122.2,-100.755,270.0,top
U3,163.875,-97.125,90.0,top
U4,133.79,-86.675,180.0,top
U5,152.7011,-64.325,0.0,top
